"","ID","Label","Statement","Subject(s)","Speaker","Speaker Job Title","State Info","The Party Affiliation","Barely True Counts","False Counts","Half True Counts","Mostly True Counts","Pants on Fire Counts","Venue/Location"
"1089",1089,"true","At nearly 19 million people, the population of Florida is larger than all the earlier primary and caucus states combined.","diversity,elections","rick-scott","Governor","Florida","republican",28,23,38,34,7,"a speech in Orlando at Presidency 5"
"1090",1090,"false","For every one ESD superintendent position, we can pay for three speech pathologists, or three special needs instructors, or three classroom teachers.","education,state-budget","mark-hass","state representative","Oregon","democrat",0,1,1,1,0,"in a press release"
"1091",1091,"false","75 percent of the (air traffic control) towers the Obama Administration is closing are located in Republican Congressional Districts.","federal-budget,transportation","jim-sensenbrenner","Member of Congress","Wisconsin","republican",2,4,1,0,0,"a press release"
"1092",1092,"barely-true","Says Apple products are currently 90 percent conflict-free, and Intel is 100 percent conflict-free.","corporations,human-rights,technology","robin-wright","unknown","unknown","newsmaker",1,0,0,0,0,"an event at the Rockefeller Center"
"1093",1093,"true","Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.","corrections-and-updates,foreign-policy,history,military","david-ignatius","unknown","unknown","none",0,0,0,0,0,"comments on CBS' ""Face the Nation"""
"1094",1094,"false","Says he has a fiduciary responsibility to his business, his family and his employees to pay no more tax than legally required.","candidates-biography,financial-regulation,taxes","donald-trump","President-Elect","New York","republican",63,114,51,37,61,"a statement from the campaign"
"1095",1095,"half-true","The federal government could save $500 million annually by circulating $1 coins instead of $1 bills.","economy,federal-budget","charlie-smith","Attorney","Georgia","democrat",0,0,1,0,0,"a newspaper article"
"1096",1096,"half-true","During the (housing) crisis, Catherine Cortez Masto gave a sweetheart contract worth millions to a D.C. law firm that then donated thousands to her political campaigns.","candidates-biography,ethics","freedom-partners-action-fund","unknown","unknown","organization",1,1,1,0,0,"a television ad"
"1097",1097,"true","Rick Scott ""was forced to resign as the head of a company that pled guilty to massive amounts of systematic fraud, including 14 felonies, leading to a historic $1.7 billion fine.""","candidates-biography,health-care","alex-sink","unknown","Florida","democrat",1,2,2,4,0,"a press release."
"1098",1098,"false","Says the federal government restricts how much salt we can put on our food.","food-safety","rick-perry","Governor","Texas","republican",30,30,42,23,18,"Rick Perry's book, ""Fed Up! Our Fight to Save America from Washington"""
"1099",1099,"pants-fire","During the lead-up to the American Revolutionary War, some guy in Boston got his head blown off because he tried to secretly raise the tax on tea.","economy,history","andrea-tantaros","Co-host on Fox News Channel's ""The Five""","unknown","none",0,0,0,0,1,"comments on Fox News Channel's ""The Five"""
"1100",1100,"true","Proposed NClaw for body camera footage gives police broad authority to keep video footage secret even from individuals who are filmed.","after-the-fact,civil-rights,criminal-justice,public-safety,transparency","aclu-north-carolina","unknown","North Carolina","organization",0,0,0,0,0,"a press release"
"1101",1101,"half-true","The wages of about 60,562 state and local government employees would be affected if the minimum wage is increased to $10.10 in Georgia, for a combined cost to taxpayers of more than $164 million annually.","economy","georgia-restaurant-association-georgia","unknown","Georgia","organization",0,0,1,0,0,"in a study"
"1102",1102,"barely-true","It doesn't make sense ""historically"" to drop out because the 1968 race was still competitive when ""Bobby Kennedy was assassinated in June in California.""","elections","hillary-clinton","Presidential candidate","New York","democrat",40,29,69,76,7,"Sioux Falls, S.D."
"1103",1103,"true","Says he couldnt keep a 42-inch redfish he caught because of fishing rules.","oil-spill","adam-putnam","Florida Commissioner of Agriculture","Florida","republican",0,1,1,2,1,"a posting on Twitter"
"1104",1104,"mostly-true","Says opponent Kathie Tovo believes that Austin invests too much in the cops, firefighters and paramedics that protect our families and neighborhoods.","city-budget,city-government,public-safety","randi-shade","Member, Austin City Council","Texas","democrat",0,0,1,2,0,"a campaign mailer."
"1105",1105,"mostly-true","Newt Gingrich was fined $300,000 for ethics violations.","candidates-biography,corrections-and-updates,ethics,message-machine-2012","restore-our-future","super PAC","unknown","republican",1,0,3,1,2,"a television ad"
"1106",1106,"barely-true","The entirety of North America -- Canada, the United States and Mexico -- theres more known reserves in those three countries than in Russia and Saudi Arabia.","energy","rick-perry","Governor","Texas","republican",30,30,42,23,18,"a visit to Deerfield, NH"
"1107",1107,"false","On the accuracy of state jobs numbers.","jobs","scott-walker","Milwaukee County Executive","Wisconsin","republican",26,41,32,40,11,"a news release"
"1108",1108,"true","Right now we are at 90 percent health insurance covered. Thats the highest weve ever been in our country.","health-care","hillary-clinton","Presidential candidate","New York","democrat",40,29,69,76,7,"the second 2016 presidential debate"
"1109",1109,"half-true","Roy Barnes proclaimed Mexican workers good for Georgia.","economy,immigration","nathan-deal","unknown","unknown","republican",9,5,11,11,0,"a television ad"
"1110",1110,"half-true","Says India gained jobs thanks to Romney.","candidates-biography,economy,message-machine-2012","priorities-usa-action","unknown","unknown","democrat",3,1,4,2,1,"a Web ad"
"1111",1111,"mostly-true","Only 20 percent of Americans admit to being Republicans anymore.","elections","democratic-national-committee","unknown","unknown","none",8,2,10,8,0,"an e-mail to reporters"
"1112",1112,"barely-true","Its costing every American who is insured $1,100 to pick up the cost of uncompensated care that goes on at the emergency room.","health-care","barbara-boxer","U.S. Senator","California","democrat",2,0,3,4,1,"an interview with Rachel Maddow"
"1113",1113,"true","The No. 1 cause of death for African-American males15-34 is murder.","crime,criminal-justice","juan-williams","Pundit, Fox News","unknown","none",2,0,2,1,0,"comments on Fox News Sunday"
"1114",1114,"mostly-true","The United States has the highest incarceration rate in the world.","crime,criminal-justice","jim-webb","writer","Virginia","democrat",1,0,1,5,0,"a web post."
"1115",1115,"mostly-true","The national debt is on track to double during Obamas presidency.","debt,deficit,federal-budget","scott-walker","Milwaukee County Executive","Wisconsin","republican",26,41,32,40,11,"a book"
"1116",1116,"barely-true","I've traveled the country advocating for the FairTax ...","taxes","tom-graves","unknown","unknown","republican",1,0,5,0,1,"a rally"
"1117",1117,"half-true","Says under Mitt Romney, Massachusetts was 47th in job creation.","jobs","julian-castro","Mayor, San Antonio","Texas","democrat",0,0,3,3,0,"his speech at Texas Democratic Party State Convention in Houston"
"1118",1118,"half-true","Says Deborah Ross supports the Iran nuclear deal and the ransom it paid for hostages.","corrections-and-updates,foreign-policy,nuclear,states","john-bolton-superpac","unknown","unknown","organization",0,0,1,0,0,"a TV ad"
"1119",1119,"false","Says Ron Johnson has essentially done nothing to fight heroin addiction and opioid abuse.","candidates-biography,drugs,homeland-security,immigration","russ-feingold","unknown","Wisconsin","democrat",2,4,7,5,1,"a radio ad"
"1120",1120,"true","Virginia was named best managed state, best state for business and best state toraise a child while I was governor.","children,economy,education,elections,small-business","tim-kaine","U.S. Senator","Virginia","democrat",8,3,15,15,0,"a YouTube video"
"1121",1121,"barely-true","The only years that anybodys ever seen of Donald Trumps tax returns showed he didnt pay any federal income tax.","candidates-biography,history,income,campaign-advertising,taxes,wealth","hillary-clinton","Presidential candidate","New York","democrat",40,29,69,76,7,"a Presidential debate"
"1122",1122,"false","Says U.S. House candidate Carlos Curbelo supported raising flood insurance rates.","federal-budget,natural-disasters,water,weather","joe-garcia","lawyer","Florida","democrat",0,2,0,0,0,"a web ad"
"1123",1123,"false","Says some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.","abortion,crime","john-obannon","State delegate","Virginia","republican",0,1,0,0,0,"a constituent survey"
"1124",1124,"half-true","For middle-class families under the Baucus plan, 13 percent of what they make could be deducted directly from their paychecks . . . the so-called Max Tax.","health-care,pundits,taxes","keith-olbermann","Political commentator","unknown","none",0,2,3,2,0,"his television show ""Countdown"""
"1125",1125,"true","The new 21st State Senate district was created in secret for Van Wanggaard. It was drawn within half a block of his house.","elections","john-lehman","State senator, 21st District","Wisconsin","democrat",0,0,0,0,0,"a radio interview"
"1126",1126,"half-true","Says unemployment tripled in Dane County due to Kathleen Falks tax policies","county-budget,county-government,economy,job-accomplishments,jobs","republican-governors-association","unknown","Washington, D.C.","republican",5,1,6,4,2,"a television ad"
"1127",1127,"true","Rhode Islands voter identification law was pushed by a black Democrat in the House, a black Democrat in the Senate. Thats a fact.","elections,pundits","ann-coulter","Columnist and author","New York","republican",2,3,3,0,4,"a TV show appearance"
"1128",1128,"true","Jeff Greene only moved from California to Florida in the last two years. In fact, he would not legally be allowed to run for any other statewide office because he has not lived here long enough to meet the residency requirement.","candidates-biography","kendrick-meek","unknown","Florida","democrat",2,6,1,4,1,"a campaign website"
"1129",1129,"half-true","President Obama has increased the federal workforce 192,000 individuals -- about 10 percent since hes taken office -- while weve lost 2 million jobs.","federal-budget","ron-johnson","unknown","Wisconsin","republican",14,6,10,10,1,"a television interview"
"1130",1130,"half-true","Says Alison Lundergan Grimes supports Obamacare, which cuts $700 billion from seniors Medicare.","health-care,medicare","mitch-mcconnell","Senate minority leader","Kentucky","republican",7,6,5,7,0,"a YouTube video"
"1131",1131,"mostly-true","We borrow money from the Chinese to buy oil from the Saudis.","energy","hillary-clinton","Presidential candidate","New York","democrat",40,29,69,76,7,"a debate in Austin, Texas."
"1132",1132,"mostly-true","Obamacare will provide coverage for abortions, despite the presidents commitment that it would not.","abortion","karen-handel","unknown","unknown","republican",2,0,3,3,1,"a book"
"1133",1133,"barely-true","Handel endorsed gay adoption in 2003 when she was running for chairwoman of the Fulton County Commission.","gays-and-lesbians","nathan-deal","unknown","unknown","republican",9,5,11,11,0,"in a statement published in the Rome News Tribune."
"1134",1134,"false","I did not support the war in Iraq The record shows that Im right.","candidates-biography,foreign-policy,history,iraq","donald-trump","President-Elect","New York","republican",63,114,51,37,61,"a presidential debate"
"1135",1135,"barely-true","Wendy Davis is the most popular politician in Texas.","polls","jason-stanford","Political consultant","Texas","democrat",1,0,0,1,0,"an opinion column in the Austin American-Statesman"
"1136",1136,"pants-fire","President Barack Obama met with Iranian president Hassan Rouhani.","foreign-policy,military,nuclear,terrorism","restoration-pac","unknown","unknown","organization",1,0,0,0,1,"a TV ad"
"1137",1137,"mostly-true","The church Barack Obama belongs to has a ""nonnegotiable commitment to Africa.""","religion","chain-email","unknown","unknown","none",11,43,8,5,105,"unknown"
"1138",1138,"barely-true","Says he voted to remove Common Core from our schools.","education","ritch-workman","State representative","Florida","republican",1,1,0,0,0,"an online ad"
"1139",1139,"false","Terry McAuliffe has threatened to shut down Virginias government if his budget plan isnt supported.","bipartisanship,medicaid,state-budget","ken-cuccinelli","Attorney General","Virginia","republican",1,10,3,2,1,"radio ad."
"1140",1140,"true","After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three.","economy,jobs","barack-obama","President","Illinois","democrat",70,71,160,163,9,"the State of the Union Address"
"1141",1141,"pants-fire","At least 10 ISIS fighters have been caught coming across the Mexican border in Texas and there are dozens more that did not get caught by the Border Patrol.","terrorism","duncan-hunter-2","Congressman","California","republican",0,0,0,0,1,"an interview with Greta Van Susteren of Fox News"
"1142",1142,"half-true","Less than half of jobs at the Carrier manufacturing plant in Indiana are actually staying.","jobs,state-finances","heather-mcghee","President, Demos","unknown","none",1,0,1,0,0,"an interview on ""Meet the Press"""
"1143",1143,"true","Fifty-one percent -- that is, a majority of American households -- paid no income tax in 2009. Zero. Zip. Nada.","taxes","john-cornyn","Senator","Texas","republican",5,3,6,2,1,"a Senate floor speech"
"1144",1144,"false","Says Majority Leader Eric Cantor called for abolishing Social Security and Medicare.","federal-budget,medicare,social-security","americans-united-change","unknown","unknown","none",1,4,4,1,0,"a news release."
"1145",1145,"false","I never said that Muslims would be subject to profiling under his policies.","diversity,homeland-security,legal-issues,religion","donald-trump","President-Elect","New York","republican",63,114,51,37,61,"an interview with Fox News' Bill O'Reilly"
"1146",1146,"mostly-true","The majority of teams (are) now spending their dollars on the offensive side of the football.","sports","mark-schlereth","ESPN analyst","unknown","none",0,0,0,1,0,"comments on ESPN's ""Mike & Mike"""
"1147",1147,"half-true","Members of Congress ""have not reduced their salaries ... since the Great Depression,"" meaning they've gone ""eight decades without a pay cut.""","federal-budget,government-efficiency","ann-kirkpatrick","U.S. House of Representatives","Arizona","democrat",0,0,3,0,0,"a speech on the House floor"
"1148",1148,"barely-true","Says five studies show his tax plan can cut rates and still bring the same revenue without raising taxes on the middle class.","taxes","mitt-romney","Former governor","Massachusetts","republican",34,32,58,33,19,"a Meet the Press interview"
"1149",1149,"barely-true","Last week Senator Obama's running mate said, get this, 'Raising taxes is patriotic.'","taxes","john-mccain","U.S. senator","Arizona","republican",31,39,31,37,8,"Reading, Pa."
"1150",1150,"mostly-true","Today, American companies have nearly $2 trillion sitting on their balance sheets.","corporations,jobs","barack-obama","President","Illinois","democrat",70,71,160,163,9,"a speech to the Chamber of Commerce"
"1151",1151,"mostly-true","Says 31 percent of Texas physicians accept all new Medicaid patients, down from 67 percent in 2000.","medicaid","texas-medical-association","unknown","unknown","none",0,0,0,1,0,"a Twitter post."
"1152",1152,"false","Says Planned Parenthood CEO Cecile Richards was forced to concede that 86 percent of Planned Parenthoods revenue is from abortion.","abortion","dana-loesch","Radio talk show host","unknown","republican",1,2,0,0,0,"a tweet"
"1153",1153,"true","Georgia spends fewer tourism advertising dollars than any other state in the South.","state-budget,tourism","ron-stephens","State Representative","Georgia","republican",0,0,0,0,0,"an article"
"1154",1154,"pants-fire","Obama admits he is not a citizen.","candidates-biography,obama-birth-certificate","chain-email","unknown","unknown","none",11,43,8,5,105,"referring to a YouTube video"
"1155",1155,"half-true","Under Lee Fisher Ohio has lost nearly 400,000 jobs.","economy,job-accomplishments,message-machine","rob-portman","U.S. senator from Ohio","Ohio","republican",3,5,11,11,1,"a campaign video"
"1156",1156,"barely-true","The name Frank has risen in popularity by 20 percent since the debut of House of Cardson Netflix.","pop-culture","matt-lauer","Today Show host","unknown","none",1,0,0,0,0,"a red carpet interview before the Golden Globes"
"1157",1157,"mostly-true","Slavery is still allowable under Wisconsin law as long as its a punishment for a crime.","criminal-justice,legal-issues","lena-taylor","State Senator, District 4","Wisconsin","democrat",1,1,0,1,1,"an opinion column"
"1158",1158,"barely-true","President Barack Obama has the power to stop deportation for all undocumented immigrants in this country.","immigration","obamas-heckler","unknown","unknown","none",1,0,0,0,0,"comments during the president's speech"
"1159",1159,"true","Foreign companies in the United States have a significantly higher unionization rate than other companies overall.","labor,unions","sherrod-brown","U.S. Senator","Ohio","democrat",3,4,5,8,1,"a Senate committee hearing"
"1160",1160,"mostly-true","Says some Georgians can get health insurance for $105 a month.","health-care","kathleen-sebelius","U.S. Health and Human Services Secretary","Kansas","democrat",1,0,1,3,1,"Atlanta press conference"
"1161",1161,"half-true","Says 1,000 World War II veterans die every day.","veterans","david-dewhurst","Lieutenant governor","Texas","republican",8,8,10,5,5,"a tweet"
"1162",1162,"true","Federal officials declared that grant funds could be used only for Milwaukees streetcar project, meaning it isnt possible to redirect the money to other modes of public transportation or to our public schools.","city-government,infrastructure,transportation","gwen-moore","U.S. House member -- 4th District","Wisconsin","democrat",3,4,4,3,1,"a newspaper opinion piece"
"1163",1163,"mostly-true","The John McCain Twitter account has more than 1.1 million followers. The official White House Twitter account has only about 830,000.","pop-culture,pundits","john-king","An anchor for CNN","unknown","none",0,0,0,1,0,"an interview on CNN's State of the Union"
"1164",1164,"mostly-true","Ohios Planned Parenthood operations received millions of taxpayer dollars via federal grants in 2010 and 2011.","abortion","ohio-right-life","unknown","Ohio","none",1,0,0,1,0,"a news release"
"1165",1165,"false","Says President Obamas deal allows Iran to produce a nuclear weapon.","foreign-policy,nuclear","carlos-beruff","Developer","Florida","republican",3,1,0,0,0,"a press release"
"1166",1166,"pants-fire","The stimulus bill includes ""$300,000 for a sculpture garden in Miami.""","economy,stimulus","eric-cantor","House Majority Leader","Virginia","republican",9,6,4,4,4,"an interview on the Fox News Channel."
"1167",1167,"half-true","Thomas Jefferson expressed strong support for a balanced budget amendment in 1798.","deficit,federal-budget,history","bob-goodlatte","U.S. Congressman","Virginia","republican",0,1,4,3,0,"a speech."
"1168",1168,"half-true","Says Marco Rubio went on Univision, and in Spanish he promised that he would not on the first day in office rescind President Obamas illegal executive action.","immigration","ted-cruz","Senator","Texas","republican",36,33,15,19,8,"an interview on Fox News"
"1169",1169,"half-true","Under President Obama, U.S. security funding for Israel is at an all-time high.","foreign-policy,israel,military","democratic-national-committee","unknown","unknown","none",8,2,10,8,0,"a Web video advertisement"
"1170",1170,"barely-true","Says state Rep. Sandy Pasch did nothing to stop people from scamming the Wisconsin Shares child-care subsidy program and voted against funding for fraud investigators.","state-budget","club-growth","unknown","unknown","none",4,5,4,2,0,"in a radio ad"
"1171",1171,"mostly-true","The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.","economy,income,taxes,wealth","bernie-s","U.S. Senator","Vermont","independent",18,12,22,41,0,"remarks at the Democratic National Convention in Philadelphia"
"1172",1172,"false","When the United States ""first created the federal income tax, frankly, nobody below a million dollars a year paid anything.""","history,taxes","newt-gingrich","Co-host on CNN's ""Crossfire""","Georgia","republican",16,15,20,10,11,"a speech to the Southern Republican Leadership Conference"
"1173",1173,"mostly-true","Says Milwaukee County Parks director Sue Black has not received a pay raise in five years.","labor","chris-abele","Philanthropist","Wisconsin","none",3,5,4,4,2,"a campaign appearance"
"1174",1174,"barely-true","Says Romney wrote in the first edition of his book that his health care plan should be expanded nationwide and then, You took it out of your book.","health-care","rick-santorum","unknown","Pennsylvania","republican",12,16,13,7,5,"a Republican presidential primary debate"
"1175",1175,"pants-fire","Says Gov. John Kasich implied that a portion of workers compensation rebates to employers should be directed back to him in the form of campaign cash.","campaign-finance,workers","tom-letson","Representative","Ohio","democrat",0,0,0,0,1,"an emailed news release"
"1176",1176,"false","We have over 300 state agencies. Forty-five of those agencies are related to health care.","health-care","kay-bailey-hutchison","U.S. Senator","Texas","republican",2,4,4,3,0,"a debate."
"1177",1177,"mostly-true","Says Rep. Bruce Braley, D-Iowa, missed 79 percent of veterans affairs committee hearings.","congress,veterans","concerned-veterans-america","unknown","unknown","organization",1,0,0,1,0,"a television ad"
"1178",1178,"half-true","NASCAR endorsed Trump","candidates-biography,sports","donald-trump","President-Elect","New York","republican",63,114,51,37,61,"a speech in Concord, N.C."
"1179",1179,"true","Abraham Lincoln visited and some say even danced in (the Ohio Senate) chamber.","history","keith-faber","State senator","Ohio","republican",0,0,1,0,0,"a speech in the Ohio Senate"
"1180",1180,"false","The premiums on Medicares prescription drug program have fallen almost every year since it began.","health-care,medicare","johnny-isakson","U.S. Senator","Georgia","republican",2,3,3,2,0,"a speech before the Greater North Fulton Chamber of Commerce"
"1181",1181,"true","When Mitt Romney was governor of Massachusetts, he stood in front of a coal plant and pointed at it and said, This plant kills.","debates,energy","barack-obama","President","Illinois","democrat",70,71,160,163,9,"in a town-hall debate in Long Island, N.Y."
"1182",1182,"pants-fire","The Central Falls School system spent $100,000 on a time clock.","city-budget,education,government-efficiency","john-tassoni-jr","President of The Sentinel Group","Rhode Island","democrat",0,0,0,0,1,"a news release"
"1183",1183,"half-true","As the CEO of eBay, ""Whitman started a separate division that only sells porn.""","ethics,message-machine","steve-poizner","Insurance commissioner and gubernatorial candidate","California","republican",0,1,1,1,0,"an online campaign commercial"
"1184",1184,"half-true","If the mayor were really serious about supporting Phillys schoolchildren and handling our citys looming fiscal crisis, he could begin by slashing the size of his own administration, which is already 45 percent larger than his predecessors and 40 percent more costly.","city-budget,city-government","joe-defelice","Philadelphia Republican City Committee Chairman","Pennsylvania","republican",0,0,1,0,0,"As part of a Philadelphia Inquirer editorial"
"1185",1185,"mostly-true","The top 1/10th of 1 percent today in America owns almost as much wealth as the bottom 90 percent.","economy,income,retirement,social-security,wealth","bernie-s","U.S. Senator","Vermont","independent",18,12,22,41,0,"a speech."
"1186",1186,"mostly-true","75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.","economy,jobs,small-business","bill-batchelder","State representative","Ohio","republican",0,1,1,1,3,"an interview on WCPN 90.3 FM"
"1187",1187,"barely-true","Barnes opposed the creation of the HOPE Scholarship and campaigned against Zell Miller on the issue.","education","GaGOP","unknown","unknown","republican",2,1,1,0,0,"GOP press release"
"1188",1188,"pants-fire","Says Donald Trumps Make America Great Againhats were made in China.","china","tweets","unknown","unknown","none",2,3,1,2,3,"tweets"
"1189",1189,"half-true","On changing the rules governing judicial conflicts of interest","campaign-finance,legal-issues","ed-fallone","unknown","unknown","none",0,1,0,1,0,"debate comments"
"1190",1190,"true","No other Northeastern state has passed a photo ID law","elections","rhode-island-aclu","unknown","Rhode Island","organization",0,0,0,0,0,"a news release"
"1191",1191,"false","Says government is a barrier to innovation and development.","education,federal-budget,market-regulation,science,technology","paul-broun","Congressman","Georgia","republican",4,8,3,2,1,"a tweet during the State of the Union address"
"1192",1192,"false","We have a 40 to 50 percent dropout rate in our inner-city schools.","corrections-and-updates,education","dan-patrick","Lieutenant governor-elect","Texas","republican",4,4,3,4,4,"his speech at the state convention of the Republican Party of Texas"
"1193",1193,"false","The law says ... when a police officer stops you, do whatever he says and then deal with it later.","corrections-and-updates,crime","harry-houck","Former NYPD detective","unknown","none",0,1,0,0,0,"a panel debate on ""CNN Tonight with Don Lemon"""
"1194",1194,"mostly-true","Jim Renacci cheated on his income taxes and is a deadbeat citizen.","candidates-biography,legal-issues,message-machine,taxes","afscme","unknown","unknown","none",3,1,2,3,0,"a television election ad"
"1195",1195,"half-true","Says Gov. Rick Perry was for Wall Street bailout before he was against it.","economy,federal-budget","kay-bailey-hutchison","U.S. Senator","Texas","republican",2,4,4,3,0,"the Jan. 14 GOP gubernatorial debate"
"1196",1196,"pants-fire","The National Rifle Association was founded by religious leaders who wanted to protect freed slaves from the Ku Klux Klan.","civil-rights,guns,religion","harry-alford","unknown","unknown","business-leader",0,0,0,0,1,"a news conference"
"1197",1197,"true","It is legal in Ohio to fire an employee or evict a tenant just for being gay.","gays-and-lesbians,housing,jobs,workers","progressohio","A liberal-oriented advocacy organization","Ohio","none",0,0,0,1,0,"a fundraising email"
"1198",1198,"barely-true","Says his hometown of Paint Creek, Texas, doesnt even have a ZIP code.","candidates-biography","rick-perry","Governor","Texas","republican",30,30,42,23,18,"unknown"
"1199",1199,"true","Uber and other ride-share firms are not required to carry auto insurance under Georgia law.","government-regulation,states,transportation","rich-golick","State representative","Georgia","republican",0,0,0,0,0,"an Atlanta Journal-Constitution story"
"1200",1200,"false","Says Hillary Clinton believes that all abortions should be legal, even on the due date of that unborn child.","abortion,candidates-biography","marco-rubio","U.S. Senator","Florida","republican",33,24,32,35,5,"the GOP primary debate in New Hampshire"
"1201",1201,"barely-true","The Great Recession emerged in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.","economy,financial-regulation,history,taxes","hillary-clinton","Presidential candidate","New York","democrat",40,29,69,76,7,"the first presidential debate at Hofstra University"
"1202",1202,"true","More than once, Ive actually had a conversation with the protesters on substance.","civil-rights,elections","ted-cruz","Senator","Texas","republican",36,33,15,19,8,"an interview on ""Meet the Press"""
"1203",1203,"false","And the #jerseycomeback keeps rolling! Thanks to @GovChristie NJ now has lowest corruption risk of any state.","ethics","new-jersey-republican-state-committee","Political Party","New Jersey","republican",0,1,0,0,1,"a tweet"
"1204",1204,"barely-true","Says any attempt to try to compare the Massachusetts health care law with the federal health care law is completely, intellectually dishonest. Governor Romney did not raise one tax in doing what he did.","health-care","chris-christie","Governor of New Jersey","New Jersey","republican",10,17,27,19,8,"a news conference with Mitt Romney"
"1205",1205,"mostly-true","Since 2007 David Jolly has given almost $30,000 to keep Democrats in Congress!","elections","kathleen-peters","District 69 state representative","Florida","republican",1,1,0,1,0,"a mailing to 13th Congressional District voters"
"1206",1206,"false","Passage of a referendum on an aquarium for Clearwater means NO future funding for our neighborhoods.","city-budget,water","friends-clearwater-pac","unknown","unknown","none",0,1,0,0,0,"a flier"
"1207",1207,"mostly-true","Says Texas ranks 44th nationally in education funding per pupil.","education","wendy-davis","state senator","Texas","democrat",5,1,8,12,1,"a press release"
"1208",1208,"mostly-true","Health insurance is more expensive in Massachusetts than anywhere else in the country.","health-care,states","mitt-romney","Former governor","Massachusetts","republican",34,32,58,33,19,"comments on NBC's ""Meet the Press"""
"1209",1209,"true","In two years, Gov. McAuliffe has vetoed more bills that the previous three governors issued in each of their four-year terms.","voting-record","kirk-cox","House majority leader","Virginia","republican",0,0,0,1,0,"a floor speech."
"1210",1210,"false","Everything I have said (on the campaign trail) has been factually accurate.","elections","bill-clinton","former president","Arkansas","democrat",4,2,12,11,3,"Portland, Maine"
"1211",1211,"mostly-true","When Honduran children came into this country, Secretary Clinton said send them back.","immigration","bernie-s","U.S. Senator","Vermont","independent",18,12,22,41,0,"the Democratic debate at Miami Dade College"
"1212",1212,"mostly-true","Says Jeb Bush said low-income women should get their life together and find a husband.","welfare","ultraviolet","Liberal advocacy group","Washington, D.C.","none",2,0,1,1,0,"a Facebook post"
"1213",1213,"mostly-true","Only about 6.8 percent of the (stimulus) money has actually been spent.","economy,stimulus","jon-kyl","U.S. Senator","Arizona","republican",0,2,4,3,0,"an interview on This Week with George Stephanopolous."
"1214",1214,"false","10 cents on thedollar from the Clinton Foundation goes to charitable causes.","candidates-biography","mike-pence","Governor","Indiana","republican",8,10,12,5,0,"the vice presidential debate"
"1215",1215,"barely-true","President Obama told people to skip coming here (Las Vegas) for conventions and meetings.","economy,tourism","mitt-romney","Former governor","Massachusetts","republican",34,32,58,33,19,"a stump speech in Las Vegas"
"1216",1216,"pants-fire","Says John Boehner admits we are not going to be any different than weve been by returning to the same failed economic policies that wrecked our economy.","economy","nancy-pelosi","House Minority Leader","California","democrat",3,7,11,2,3,"a blog post"
"1217",1217,"half-true","Newark is now home to one-third of all commercial and multi-family development.","corrections-and-updates,housing","cory-booker","U.S. senator","New Jersey","democrat",0,4,2,8,0,"an e-mailed campaign letter"
"1218",1218,"barely-true","Says Debbie Wasserman Schultz voted repeatedly to send terminally ill patients to prison.","marijuana","drug-policy-alliance","unknown","Washington D.C.","none",1,0,0,0,0,"an article in Politico"
"1219",1219,"pants-fire","The right-wing extremists are trying to take this seat so they can push their anti-choice and anti-equality agenda through our State House.","campaign-advertising","brian-sims","State Rep., 182nd District","Pennsylvania","democrat",0,0,0,0,1,"In a fundraising email to supporters"
"1220",1220,"mostly-true","We have 50 state lobbyists that just lobby the Legislature for money every year.","government-efficiency,state-budget","rick-scott","Governor","Florida","republican",28,23,38,34,7,"an interview with MSNBC's Chuck Todd."
"1221",1221,"mostly-true","In Atlanta, since 1994 when the Seven Deadly Sins (mandatory minimum sentences) took effect, the violent crime rate has dropped 62 percent.","crime,criminal-justice","paul-howard","Fulton County District Attorney","Georgia","none",0,0,0,1,0,"a news story"
"1222",1222,"half-true","Because of Jim Whelan, the 1990s are the only decade since the 1920s when the population of Atlantic City actually went up.","gambling","jim-whelan","unknown","unknown","democrat",0,0,2,1,0,"a debate with Assemblyman Vince Polistina"
"1223",1223,"mostly-true","Says TriMets own analysis shows that YouthPass does not actually add to the transit agencys costs.","city-budget,transportation","sam-adams","Mayor of Portland","Oregon","democrat",3,2,5,2,0,"in a press statement"
"1224",1224,"barely-true","John McCain offers ""billions in tax breaks for oil and drug companies, but almost nothing for families like yours.""","taxes","barack-obama","President","Illinois","democrat",70,71,160,163,9,"a television ad"
"1225",1225,"true","We adopted the modern Social Security system at a time when the average person died before they were old enough to get Social Security.","history,retirement,social-security,workers","newt-gingrich","Co-host on CNN's ""Crossfire""","Georgia","republican",16,15,20,10,11,"a radio interview."
"1226",1226,"true","We are coming up on our 40th anniversary of electing a Republican to the United States Senate. 1972 was the last time New Jersey sent a Republican to the United States Senate.","congress,elections","chris-christie","Governor of New Jersey","New Jersey","republican",10,17,27,19,8,"a speech at a Cato Institute event"
